Transaction Date,Post Date,Description,Category,Type,Amount
02/14/2020,02/16/2020,COSTCO WHSE #0474,Shopping,Sale,-113.42
02/14/2020,02/16/2020,COSTCO WHSE #0474,Shopping,Return,26.14
02/15/2020,02/16/2020,MARSHALLS # 1116,Shopping,Sale,-15.20
02/13/2020,02/14/2020,Amazon.com*ED6GT9HQ3,Shopping,Sale,-28.03
02/13/2020,02/14/2020,LYFT   *RIDE THU 1PM,Travel,Sale,-5.80
02/12/2020,02/14/2020,CITY OF SB PARKING,Automotive,Sale,-12.00
02/12/2020,02/14/2020,CHICK-FIL-A #03032,Food & Drink,Sale,-5.10
02/11/2020,02/13/2020,PASEO NUEVO CINEMAS,Entertainment,Sale,-15.00
02/13/2020,02/13/2020,Payment Thank You - Web,,Payment,1256.40
02/12/2020,02/12/2020,Payment Thank You - Web,,Payment,1355.36
02/11/2020,02/12/2020,TST*PERSONA WOOD FIRED PI,Food & Drink,Sale,-5.44
02/10/2020,02/12/2020,RALPHS 0680,Groceries,Sale,-4.00
02/10/2020,02/11/2020,SANSUM CLINIC-PAT.ACCTS,Health & Wellness,Sale,-120.24
02/10/2020,02/11/2020,DOORDASH*LOS ARROYOS,Food & Drink,Sale,-22.57
02/09/2020,02/10/2020,LYFT   *RIDE SAT 8PM,Travel,Sale,-27.26
02/06/2020,02/09/2020,HGI ITHACA HOTEL,Travel,Sale,-316.40
02/06/2020,02/09/2020,HGI ITHACA HOTEL,Travel,Sale,-316.40
02/08/2020,02/09/2020,Viasat In-Flight Wi-Fi,Bills & Utilities,Sale,-16.00
02/07/2020,02/09/2020,GEICO  *AUTO,Bills & Utilities,Sale,-109.32
02/05/2020,02/07/2020,SAIGON KITCHEN,Food & Drink,Sale,-33.28
02/05/2020,02/06/2020,TRILLIUM DINING,Food & Drink,Sale,-8.63
02/05/2020,02/06/2020,BICKERING TWINS CATERING,Food & Drink,Sale,-26.85
02/04/2020,02/06/2020,Louies Lunch,Food & Drink,Sale,-26.62
02/05/2020,02/06/2020,FINGER LAKES BEVERAGE CEN,Food & Drink,Sale,-7.06
02/05/2020,02/06/2020,DAIRY BAR,Food & Drink,Sale,-3.23
02/04/2020,02/05/2020,CORNELL STORE LOW REG,Shopping,Sale,-31.19
02/03/2020,02/05/2020,FIRST CLASS CONCESSION,Food & Drink,Sale,-43.09
02/03/2020,02/05/2020,LOS ARROYOS DOWNTOWN,Food & Drink,Sale,-12.27
02/01/2020,02/03/2020,SANTA BARBARA ROCK GYM,Health & Wellness,Sale,-40.00
02/02/2020,02/03/2020,RALPHS 0680,Groceries,Sale,-3.38
02/01/2020,02/02/2020,COSTCO WHSE #0474,Shopping,Sale,-161.71
02/01/2020,02/02/2020,Amazon.com,Shopping,Return,62.39
01/30/2020,02/02/2020,South Coast Deli - Carril,Food & Drink,Sale,-10.02
02/02/2020,02/02/2020,PAYPAL *HULU,Bills & Utilities,Sale,-1.99
01/31/2020,02/02/2020,RALPHS 0680,Groceries,Sale,-24.70
01/29/2020,01/31/2020,CITY OF SB PARKING,Automotive,Sale,-13.50
01/29/2020,01/31/2020,RALPHS 0680,Groceries,Sale,-6.28
01/30/2020,01/31/2020,TST* MODERN TIMES- SANTA,Food & Drink,Sale,-10.00
01/28/2020,01/30/2020,South Coast Deli - Carril,Food & Drink,Sale,-8.95
01/27/2020,01/29/2020,CITY OF SB PARKING,Automotive,Sale,-15.00
01/28/2020,01/28/2020,GRUBHUBAPNAINDIANKITC,Food & Drink,Sale,-24.98
01/26/2020,01/28/2020,THE HOME DEPOT 6623,Home,Sale,-41.21
01/27/2020,01/28/2020,CITY OF SB DOWNTWN PARKI,Bills & Utilities,Sale,-35.00
01/25/2020,01/27/2020,ABLITS FINE CLEANERS,Personal,Sale,-18.89
01/25/2020,01/27/2020,APNA INDIAN KITCHEN,Food & Drink,Sale,-21.34
01/26/2020,01/26/2020,APPLE.COM/BILL,Shopping,Sale,-0.99
01/24/2020,01/26/2020,PAYPAL *OURBUS INC,Professional Services,Sale,-34.75
01/24/2020,01/26/2020,SUPERCUTS,Personal,Sale,-23.00
01/22/2020,01/24/2020,CITY OF SB PARKING,Automotive,Sale,-10.50
01/21/2020,01/23/2020,SANTA BARBARA GAS,Gas,Sale,-34.52
01/22/2020,01/23/2020,BREAM OPTOMETRY,Health & Wellness,Sale,-75.00
01/21/2020,01/23/2020,CITY OF SB PARKING,Automotive,Sale,-13.50
01/22/2020,01/23/2020,COSTCO WHSE #0474,Shopping,Sale,-267.15
01/20/2020,01/22/2020,CARLSON WAG 0017493575122,Travel,Sale,-4.00
01/20/2020,01/22/2020,AMERICAN AIR0017493575122,Travel,Sale,-399.89
01/21/2020,01/22/2020,TST* MODERN TIMES- SANTA,Food & Drink,Sale,-10.00
01/21/2020,01/22/2020,TRADER JOE'S #183  QPS,Groceries,Sale,-3.99
01/20/2020,01/22/2020,UHL*BEAR AUTOMOTIVE INC,Automotive,Sale,-48.19
01/20/2020,01/21/2020,SQ *MONY'S,Food & Drink,Sale,-23.26
01/21/2020,01/21/2020,SQ *MCCONNELL'S FINE ICE,Food & Drink,Sale,-10.50
01/20/2020,01/20/2020,AMZN Mktp US*V33G317C3,Shopping,Sale,-41.31
01/19/2020,01/20/2020,URBAN PLATES #11,Food & Drink,Sale,-20.32
01/17/2020,01/19/2020,TELEPRESS,Professional Services,Sale,-22.81
01/17/2020,01/19/2020,TST* SAVOY CAFE &amp; DELI,Food & Drink,Sale,-16.26
01/17/2020,01/19/2020,SANTA BARBARA GAS,Gas,Sale,-19.42
01/19/2020,01/19/2020,Amazon.com*YI2WW2YV3,Shopping,Sale,-62.39
01/15/2020,01/17/2020,CITY OF SB PARKING,Automotive,Sale,-12.00
01/14/2020,01/16/2020,CHICK-FIL-A #03032,Food & Drink,Sale,-2.38
01/15/2020,01/16/2020,SANTA BARBARA AXXESS,Professional Services,Sale,-83.00
01/15/2020,01/15/2020,Payment Thank You-Mobile,,Payment,1340.03
01/12/2020,01/13/2020,TRADER JOE'S #059  QPS,Groceries,Sale,-51.00
01/11/2020,01/12/2020,LS *SBBIKE COALITION,Shopping,Sale,-199.43
01/10/2020,01/12/2020,SQ *BUENA ONDA,Food & Drink,Sale,-13.70
01/08/2020,01/10/2020,CITY OF SB PARKING,Automotive,Sale,-13.50
01/08/2020,01/10/2020,THREE PICKLES SUBS &amp; SAN,Food & Drink,Sale,-9.73
01/07/2020,01/08/2020,GEICO  *AUTO,Bills & Utilities,Sale,-109.32
01/06/2020,01/07/2020,Amazon.com*K60HP3HK3,Shopping,Sale,-48.88
01/05/2020,01/06/2020,RALPHS 0680,Groceries,Sale,-6.48
01/04/2020,01/05/2020,TRADER JOE'S #059  QPS,Groceries,Sale,-17.54
01/02/2020,01/05/2020,RALPHS 0680,Groceries,Sale,-16.87
01/04/2020,01/05/2020,TST* THE CRUISERY,Food & Drink,Sale,-8.61
01/01/2020,01/03/2020,SANTA BARBARA GAS,Gas,Sale,-36.77
01/02/2020,01/03/2020,SQ *DUNE COFFEE ROASTERS,Food & Drink,Sale,-6.00
01/01/2020,01/03/2020,SANTA BARBARA ROCK GYM,Health & Wellness,Sale,-40.00
01/02/2020,01/02/2020,PAYPAL *HULU,Bills & Utilities,Sale,-1.99
12/31/2019,01/02/2020,MISSION STREET ICE CREAM,Food & Drink,Sale,-6.26
